id,name,host_id,price,neighborhood,accommodates,room_type,borough,minimum_nights,maximum_nights,availability_90,beds,review_scores_rating,number_of_reviews,number_of_reviews_ltm,listing_url
2595,Skylit Midtown Castle,2845,150,Midtown,1,Entire home/apt,Manhattan,30,1125,66,1,4.7,48,0,https://www.airbnb.com/rooms/2595
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",4869,75,Bedford-Stuyvesant,3,Entire home/apt,Brooklyn,1,730,7,3,4.46,408,68,https://www.airbnb.com/rooms/3831
5121,BlissArtsSpace!,7356,60,Bedford-Stuyvesant,2,Private room,Brooklyn,30,730,90,1,4.52,50,0,https://www.airbnb.com/rooms/5121
5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,275,Sunset Park,4,Entire home/apt,Brooklyn,5,1125,9,2,5,1,0,https://www.airbnb.com/rooms/5136
5178,Large Furnished Room Near B'way　,8967,61,Midtown,2,Private room,Manhattan,2,14,14,1,4.2,485,12,https://www.airbnb.com/rooms/5178
6848,Only 2 stops to Manhattan studio,15991,89,Williamsburg,3,Entire home/apt,Brooklyn,30,730,18,1,4.56,181,0,https://www.airbnb.com/rooms/6848
6990,UES Beautiful Blue Room,16800,62,East Harlem,1,Private room,Manhattan,30,700,0,1,4.88,234,1,https://www.airbnb.com/rooms/6990
7064,"Amazing location! Wburg. Large, bright & tranquil",17297,90,Williamsburg,1,Private room,Brooklyn,27,45,14,1,4.86,9,0,https://www.airbnb.com/rooms/7064
7097,Perfect for Your Parents:  Privacy + Garden,17571,199,Fort Greene,4,Entire home/apt,Brooklyn,2,1125,16,2,4.87,259,30,https://www.airbnb.com/rooms/7097
7801,Sweet and Spacious Brooklyn Loft,21207,299,Williamsburg,4,Entire home/apt,Brooklyn,30,90,32,2,4.86,9,0,https://www.airbnb.com/rooms/7801
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,136,Bedford-Stuyvesant,5,Entire home/apt,Brooklyn,2,1125,45,4,4.76,132,18,https://www.airbnb.com/rooms/8490
9357,Midtown Pied-a-terre,30193,150,Hell's Kitchen,2,Entire home/apt,Manhattan,30,1125,0,1,4.52,58,0,https://www.airbnb.com/rooms/9357
9657,Modern 1 BR / NYC / East Village,21904,192,East Village,2,Entire home/apt,Manhattan,10,30,34,1,4.69,39,6,https://www.airbnb.com/rooms/9657
9704,Spacious 1 bedroom in luxe building,32045,55,Harlem,2,Private room,Manhattan,30,730,1,1,4.89,98,0,https://www.airbnb.com/rooms/9704
10452,Large B&B Style rooms,35935,80,Bedford-Stuyvesant,3,Private room,Brooklyn,30,730,19,2,4.67,76,1,https://www.airbnb.com/rooms/10452
12192,ENJOY Downtown NYC!,46978,40,East Village,2,Private room,Manhattan,2,1125,0,1,4.38,265,3,https://www.airbnb.com/rooms/12192
12343,BEST BET IN HARLEM,47727,250,Harlem,3,Entire home/apt,Manhattan,30,730,89,1,4.81,107,0,https://www.airbnb.com/rooms/12343
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,145,Long Island City,4,Private room,Queens,3,1125,28,2,4.9,294,14,https://www.airbnb.com/rooms/12937
12940,Charming Brownstone 3 - Near PRATT,50148,99,Bedford-Stuyvesant,2,Entire home/apt,Brooklyn,30,365,17,1,4.48,71,5,https://www.airbnb.com/rooms/12940
13121,(E) RIGHT ON BUDGET,27848,75,Jamaica,3,Private room,Queens,2,365,86,2,4.16,68,3,https://www.airbnb.com/rooms/13121
13394,Fort Greene brownstone,52335,80,Fort Greene,2,Private room,Brooklyn,1,1125,4,1,4.72,143,0,https://www.airbnb.com/rooms/13394
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,80,Bedford-Stuyvesant,2,Private room,Brooklyn,2,1125,4,1,4.67,152,11,https://www.airbnb.com/rooms/13808
14290,* ORIGINAL BROOKLYN LOFT *,56104,197,Williamsburg,2,Entire home/apt,Brooklyn,3,60,39,0,4.73,108,13,https://www.airbnb.com/rooms/14290
14314,Greenpoint Place...Has It All!,56246,99,Greenpoint,2,Entire home/apt,Brooklyn,30,1125,0,2,4.82,179,1,https://www.airbnb.com/rooms/14314
15220,Best Location in NYC! TIMES SQUARE!,59734,79,Hell's Kitchen,1,Private room,Manhattan,2,29,41,1,4.64,328,3,https://www.airbnb.com/rooms/15220
15385,"Very, very cozy place",60252,80,Williamsburg,1,Private room,Brooklyn,7,60,0,1,4.85,49,0,https://www.airbnb.com/rooms/15385
15396,Sunny & Spacious Chelsea Apartment,60278,400,Chelsea,4,Entire home/apt,Manhattan,30,365,0,2,5,5,0,https://www.airbnb.com/rooms/15396
15711,2 bedroom Upper East Side,61491,206,Upper East Side,6,Entire home/apt,Manhattan,30,1125,0,4,4.68,84,1,https://www.airbnb.com/rooms/15711
16338,Double Room w Private Deck Clinton Hill Best Area,63613,55,Clinton Hill,2,Private room,Brooklyn,14,150,34,2,4.6,29,1,https://www.airbnb.com/rooms/16338
16595,Quiet Full Floor Loft with Home Theater,64522,364,Williamsburg,2,Entire home/apt,Brooklyn,1,1125,78,1,4.72,202,30,https://www.airbnb.com/rooms/16595
